"날짜","종가","전일비","시가","고가","저가","거래량"
"2020.02.25",35600,150,35450,35800,34000,206581
"2020.02.24",35450,850,35250,36950,34950,297133
"2020.02.21",36300,1150,36650,37300,35900,265749
"2020.02.20",37450,1000,38100,38400,37400,124460
"2020.02.19",38450,250,39000,39000,38100,109213
"2020.02.18",38700,250,38950,39300,38600,94563
"2020.02.17",38950,300,39100,39300,38550,93195
"2020.02.14",38650,100,38750,39150,38550,79916
"2020.02.13",38750,300,39050,39200,38750,114432
"2020.02.12",39050,0,38650,39150,38650,96918
"2020.02.11",39050,300,38600,39150,38600,84305
"2020.02.10",38750,450,38750,39250,38600,80955
"2020.02.07",39200,750,40000,40150,38700,207701
"2020.02.06",39950,850,41850,41900,39700,313127
"2020.02.05",40800,1300,39450,42200,39300,367478
"2020.02.04",39500,850,39900,40250,39400,187320
"2020.02.03",40350,700,40150,40900,39650,168040
"2020.01.31",39650,700,40500,40800,39650,111951
"2020.01.30",40350,150,40100,40850,40100,91649
"2020.01.29",40500,150,39900,40900,39600,123016
"2020.01.28",40650,150,40700,41500,40400,188313
"2020.01.23",40800,200,40400,41100,40350,119885
"2020.01.22",41000,600,40500,41100,40050,112741
"2020.01.21",40400,1100,39150,40750,38800,174360
"2020.01.20",39300,50,39400,39700,39100,71204
"2020.01.17",39350,300,39650,39900,39200,105824
"2020.01.16",39650,0,39350,39650,38800,79329
"2020.01.15",39650,0,39200,39700,39000,67794
"2020.01.14",39650,100,39600,40150,39500,74376
"2020.01.13",39550,600,38750,39950,38750,113886
"2020.01.10",38950,300,38450,39100,38400,92919
"2020.01.09",38650,500,38900,39400,38500,136761
"2020.01.08",39150,500,39200,39550,38800,126725
"2020.01.07",39650,850,39000,39850,38550,124601
"2020.01.06",38800,200,38450,39300,38400,75111
"2020.01.03",39000,100,38900,39300,38400,156393
"2020.01.02",38900,350,39500,39600,38700,84346
"2019.12.30",39250,100,39550,39600,39050,64475
"2019.12.27",39350,200,38800,39650,38500,96757
"2019.12.26",39550,100,39700,39700,39000,79177
"2019.12.24",39450,150,39000,39700,38950,77739
"2019.12.23",39300,500,39200,39450,38850,78739
"2019.12.20",38800,500,39700,39700,38800,152658
"2019.12.19",39300,0,39300,39750,38700,117046
"2019.12.18",39300,1300,38050,39550,38050,192921
"2019.12.17",38000,200,37500,38100,37400,138905
"2019.12.16",37800,50,38000,38000,37350,154887
"2019.12.13",37850,350,37500,37900,37350,158914
"2019.12.12",37500,250,37300,37600,37150,171862
"2019.12.11",37250,150,37600,37600,36900,134931
"2019.12.10",37400,150,37200,37600,37200,96138
"2019.12.09",37550,100,38000,38000,37200,66924
"2019.12.06",37650,150,38350,38350,37450,88489
"2019.12.05",37800,650,38450,38450,37550,80349
"2019.12.04",38450,350,37650,38650,37600,93684
"2019.12.03",38100,150,37950,38250,37350,97541
"2019.12.02",37950,150,38200,38450,37650,88027
"2019.11.29",38100,1050,39450,39450,38050,149406
"2019.11.28",39150,250,38700,39300,38350,66992
"2019.11.27",38900,1100,40000,40350,38900,146399
"2019.11.26",40000,1000,39050,40000,38700,235963
"2019.11.25",39000,350,38850,39450,38800,74656
"2019.11.22",39350,400,39500,39600,38700,67005
"2019.11.21",38950,850,40000,40000,38600,131868
"2019.11.20",39800,200,39600,40100,39500,75503
"2019.11.19",40000,100,39550,40050,39350,129172
"2019.11.18",39900,0,39450,40150,39450,88626
"2019.11.15",39900,150,39250,40150,39250,109439
"2019.11.14",39750,550,40300,40350,39250,188775
"2019.11.13",40300,50,40250,40550,40050,84639
"2019.11.12",40350,350,40750,40900,39850,143901
"2019.11.11",40700,1050,40000,40850,39550,173247
"2019.11.08",39650,1000,39100,40600,39050,233330
"2019.11.07",38650,100,38400,38950,38350,99323
"2019.11.06",38550,400,38900,38950,38400,104920
"2019.11.05",38950,300,38650,39100,38250,104246
"2019.11.04",38650,350,38350,38850,38100,113293
"2019.11.01",38300,50,37950,38750,37900,68674
"2019.10.31",38250,600,38700,38950,37750,195196
"2019.10.30",38850,50,38800,39250,38600,85958
"2019.10.29",38800,250,39200,39450,38550,109487
"2019.10.28",39050,900,39700,40150,38800,115172
"2019.10.25",39950,450,40000,40400,39750,59409
"2019.10.24",40400,50,40100,40550,39800,84635
"2019.10.23",40350,450,40550,41050,40000,76896
"2019.10.22",40800,50,40300,41150,40250,122076
"2019.10.21",40750,600,40350,40750,39750,93492
"2019.10.18",40150,150,40500,40550,39800,99101
"2019.10.17",40300,100,40400,40900,39950,116348
"2019.10.16",40200,550,40650,41000,40000,110692
"2019.10.15",40750,250,40800,40900,40050,104996
"2019.10.14",41000,300,40600,41350,40400,89228
"2019.10.11",40700,900,41700,42000,40550,92080
"2019.10.10",41600,150,40600,41600,40300,141573
"2019.10.08",41450,550,41500,41650,40600,89540
"2019.10.07",40900,650,40750,41050,40050,52763
"2019.10.04",40250,1300,41650,41650,40150,110793
"2019.10.02",41550,250,41150,42000,40500,101992
"2019.10.01",41300,50,40850,41550,40500,76952
"2019.09.30",41250,150,40700,41750,40500,120087
