"","title","contents"
"1","< 자게 횽아들 왜케 많은교? > ",""
"2","속보) 영국인확진자가 자가격리 무시하고  ""수원 돌아다님 ","영국인이고 나발이고 강제 출국시켜야함.펌"
"3","진료소 근무중입니다 ","주말에도 다들 수고많으십니다"
"4","쌩쇼 뽀록나는 역대급 사진 ㅋㅋㅋ ","실신해서 업히는 사람이미간찌푸리며 실눈 뜨고 있음ㅋㅋㅋ아 진짜 미치겠다.대구는 어제도 집단감염으로 난리인데 혼자 병상에 누워서 의료진 피곤하게 하고있을 텐데 뭐하는 짓인지"
"5","미국이 지원1순위라는 말 들은 트럼프 ",""
"6","BBC News 코리아 ""우리는 있는 그대로 이야기합니다"" ",""
"7","진단키트 브랜드명 “ 독도” 고려  물량95% 수출. ","꼭 독도로 하기를 바랍니다."
"8","요즘 YTN에서 장난질을 엄청 치네요 ","영상을 다시보니까.. 저기에서도이렇게 되어 있더군요..이건..명백히.. 장난질 아니겠습니까?"
"9","분노주의) 술집에서 처음 본 남자 때려 숨지게 한 20대들 ","우발적 범행?????진짜 판새들 ... 욕나오네요."
"10","일본 방송  근황 ",""
"11","기레기들의 절규 ",""
"12","김대중 대통령이 권영진 시장에게 ",""
"13","보배드림의 선한영향력 덕분입니다.(2) ",""
"14","N번방 피해자 sns ",""
"15","고래잡던 일본인 갑분싸 ",""
"16","태극기 흔든 루마니아인 ""한국 진단키트 잊지 않을 것"" ",""
"17","인기많은 권영진 ",""
"18","이수진 50.4% vs 나경원 38.6% ",""
"19","권영진 구라 확인한 대구 MBC ","https://youtu.be/-PPwx9FTuMM"
"20","권영진 시장 잘하고 있네요. ",""
"21","대구시장의 근황이랍니다 ",""
"22","""작동하지 않아요"" 코로나19 키트 산 국가들 아우성 ","출처:https://www.hankookilbo.com/News/Read/202003270906038880?did=NA&amp;dtype=&amp;dtypecode=&amp;prnewsid=ㅋㅋㅋㅋㅋㅋㅋ 역시 마데인 차이나"
"23","주말 점심은  이걸로 한그릇 하시죠~ ","제일 좋아하는 국수..점심들 맛나게 드시고 주말 잘보내세요~"
"24","현재 해외에서 가장 많은 공감을 얻는 글 ",""
"25","대마도 근황 ",""
"26","ㅎㅎ 블라시켰네 인증박제용 ",""
"27","심상정 페이스북 ",""
"28","27일자 종양일보 기레기 ","뭐!! 당국에서 의료진의 수당을 깎아!?응 대구/경북 의료 당국이야...기사에 특정 단어들만 빠지는 기레기들의 소소한 매직!"
"29","CCTV)충북 보은 격리시설 이탈한 신천지 ",""
"30","G20 화상 정상회담 후일담 및 대통령 발표문 ","이전 G20 정상회담은 한국이 먼저 의장국인 사우디와 프랑스, 미국에 제안하여 이루어졌고,회담 이후 결정된 성명문의 초안에도 우리가 제의한 내용이 수정없이 고스란히 담겨 나왔다고 합니다.코로나 사태를 맞이하여 유일하게 민주적인 방식을 통해 스마트하고 신속한 대응을 했던 한국의 위상이 올라갔음을 증명하는 것이죠.이번 회담을 계기로 코로나는 물론 경제적인 문제들도 점차 해결된다면,우리나라는 그 어느때보다 국격이 상승할 것이라고 믿습니다."
